sent_setpoint_Pset,sent_setpoint_Bset,Pset_pv,Pset_bess,P_grid,Pset_load,BESS_soc,Qset_pv,Qset_bess,Qset_load,Q_grid,reopt_calculated_pv_to_load,reopt_calculated_pv_to_battery,reopt_calculated_pv_excess,reopt_calculated_battery_to_load,reopt_calculated_battery_soc,reopt_calculated_grid_to_load,reopt_calculated_grid_to_battery,reopt_calculated_grid_consumption
194.896143,-3.613,194.89615,-3.613,308.71686,-500.0,0.35132217,0.9999992,1.0,1.0000021,-3.0000014,195.474,0.0,0.0,0.0,0.34244,304.526,3.613,308.139
168.6054565,0.0,194.89615,-3.613,308.71686,-500.0,0.35150898,1.0000006,1.0,0.9999984,-2.999999,168.701,0.0,0.0,0.0,0.35132,331.299,0.0,331.299
150.68531925,150.0,150.68532,150.0,199.31468,-500.0,0.34906876,0.99999946,0.99999946,1.0000021,-3.000001,150.906,0.0,0.0,150.0,0.34272,199.094,0.0,199.094
136.628918,150.0,149.85753,149.99998,200.14244,-499.99997,0.3413128,0.99999994,0.9999997,1.0000008,-3.0000005,136.351,0.0,0.0,150.0,0.34028,213.649,0.0,213.649
204.6057555,150.0,204.60576,150.0,145.39424,-500.0,0.3286142,0.9999992,0.99999946,1.0000021,-3.0000007,204.906,0.0,0.0,150.0,0.33252,145.094,0.0,145.094
214.57631974999998,150.0,204.60576,150.0,145.39424,-500.0,0.3208596,1.000001,1.0000007,0.9999976,-2.9999995,214.183,0.0,0.0,150.0,0.31982,135.817,0.0,135.817
195.76304075000002,150.0,195.76305,150.0,154.23695,-500.0,0.30815965,0.9999992,0.99999946,1.0000021,-3.0000007,196.128,0.0,0.0,150.0,0.31207,153.872,0.0,153.872
146.15375175,150.0,192.65765,149.99997,157.34229,-499.9999,0.30040547,0.9999998,0.99999934,1.0000014,-3.0000007,146.631,0.0,0.0,150.0,0.29937,203.369,0.0,203.369
103.56754049999999,150.0,103.56754,150.0,246.43245,-500.0,0.28770512,0.9999996,0.99999946,1.0000021,-3.0000012,103.637,0.0,0.0,150.0,0.29161,246.363,0.0,246.363
99.22283375,150.0,103.28786,149.99998,246.71213,-500.0,0.2799542,1.0000005,1.0000006,0.9999981,-2.999999,99.547,0.0,0.0,150.0,0.27891,250.453,0.0,250.453
117.9683555,150.0,117.96835,150.0,232.03165,-500.0,0.26725057,0.9999996,0.99999946,1.0000021,-3.0000012,117.799,0.0,0.0,150.0,0.27116,232.201,0.0,232.201
181.2728275,150.0,117.96835,150.0,232.03165,-500.0,0.25949788,0.9999998,0.9999997,1.000001,-3.0000005,181.212,0.0,0.0,150.0,0.25846,168.788,0.0,168.788
142.454628,0.0,142.45464,4.186481e-9,357.54538,-500.0,0.24924427,0.99999946,1.0,1.0000021,-3.0000017,142.849,0.0,0.0,0.0,0.2595,357.151,0.0,357.151
169.4874435,-300.0,144.04642,-17.666494,373.6196,-499.99948,0.24924427,0.999999,1.0000025,0.99999785,-2.9999993,169.99,0.0,0.0,0.0,0.26504,330.01,300.0,630.01
147.824515,-300.0,147.82451,-300.0,652.1755,-500.0,0.27459148,0.99999946,1.0000013,1.0000021,-3.0000029,147.657,0.0,0.0,0.0,0.26504,352.343,300.0,652.3430000000001
189.24940875,-153.732,150.264,-291.38687,641.1232,-500.00037,0.29008618,1.0,0.99999946,1.0000015,-3.0000012,189.432,0.0,0.0,0.0,0.28269,310.568,153.732,464.29999999999995
195.26104,-26.439,195.26105,-26.439,331.17795,-500.0,0.30105793,0.9999992,1.0000001,1.0000021,-3.0000014,195.196,0.0,0.0,0.0,0.29148,304.804,26.439,331.243
