time_minute,timestamp,load,forecast,Pset_UDP,B_set_UDP,Real_PV,Deviation_Factor,Grid_Power
145.000000,2026-01-21 21:57:05,4038.450399,0.000000,0.000000,0.000000,0.000000,0.039635,4038.450399
146.000000,2026-01-21 21:57:05,4031.848257,0.000000,0.000000,0.000000,0.000000,0.019071,4031.848257
147.000000,2026-01-21 21:57:05,4027.214252,0.000000,0.000000,0.000000,0.000000,-0.046416,4027.214252
148.000000,2026-01-21 21:57:05,4022.599993,0.000000,0.000000,0.000000,0.000000,0.082517,4022.599993
149.000000,2026-01-21 21:57:05,4232.124191,0.000000,0.000000,0.000000,0.000000,0.042989,4232.124191
150.000000,2026-01-21 21:57:05,4226.476497,0.000000,0.000000,0.000000,0.000000,-0.044681,4226.476497
151.000000,2026-01-21 21:57:05,4862.994042,0.000000,0.000000,0.000000,0.000000,-0.022696,4862.994042
152.000000,2026-01-21 21:57:05,5694.666417,2697.905028,2697.905028,0.000000,2878.844139,0.067067,2815.822278
153.000000,2026-01-21 21:57:05,5760.793152,7648.490232,7648.490152,-1887.697000,7055.116878,-0.077580,593.373274
154.000000,2026-01-21 21:57:05,6554.761573,11115.078470,11115.078468,-4560.317000,10030.114640,-0.097612,1084.963933
155.000000,2026-01-21 21:57:06,6626.450431,13218.491640,13218.491431,-6592.041000,14466.867080,0.094442,-1248.375649
156.000000,2026-01-21 21:57:06,6682.947122,14234.464740,14234.464740,-7551.518000,13807.406491,-0.030002,427.058631
157.000000,2026-01-21 21:57:06,6512.278799,14137.729930,14137.729799,-7625.451000,14802.065146,0.046990,-664.335347
158.000000,2026-01-21 21:57:06,6465.912412,12835.502520,12835.502412,-6369.590000,12388.707521,-0.034809,446.794891
159.000000,2026-01-21 21:57:06,6467.057749,9839.042016,9839.041749,-3371.984000,10111.861870,0.027728,-272.820121
160.000000,2026-01-21 21:57:06,5878.183575,5459.720292,5459.720292,418.463000,5655.486907,0.035857,-195.766332
161.000000,2026-01-21 21:57:06,5953.275531,773.075561,773.075561,5180.199970,825.802985,0.068205,-52.727424
162.000000,2026-01-21 21:57:06,5738.478835,0.000000,0.000000,5738.478835,0.000000,-0.062362,0.000000
163.000000,2026-01-21 21:57:06,5300.900998,0.000000,0.000000,5300.900998,0.000000,0.073153,0.000000
164.000000,2026-01-21 21:57:06,5250.084913,0.000000,0.000000,5250.084913,0.000000,0.038906,0.000000
165.000000,2026-01-21 21:57:06,4357.400323,0.000000,0.000000,0.000000,0.000000,0.093164,4357.400323
166.000000,2026-01-21 21:57:06,4350.495391,0.000000,0.000000,0.000000,0.000000,0.083128,4350.495391
167.000000,2026-01-21 21:57:06,4121.730854,0.000000,0.000000,0.000000,0.000000,-0.059087,4121.730854
168.000000,2026-01-21 21:57:06,4119.868036,0.000000,0.000000,0.000000,0.000000,-0.003516,4119.868036
169.000000,2026-01-21 21:57:06,3923.587616,0.000000,0.000000,0.000000,0.000000,-0.087012,3923.587616
170.000000,2026-01-21 21:57:06,3920.855922,0.000000,0.000000,0.000000,0.000000,0.070875,3920.855922
171.000000,2026-01-21 21:57:06,3921.217954,0.000000,0.000000,0.000000,0.000000,0.098561,3921.217954
172.000000,2026-01-21 21:57:06,3920.566297,0.000000,0.000000,0.000000,0.000000,0.047144,3920.566297
173.000000,2026-01-21 21:57:07,4135.830343,0.000000,0.000000,0.000000,0.000000,-0.055566,4135.830343
174.000000,2026-01-21 21:57:07,4133.842460,0.000000,0.000000,3871.325000,0.000000,-0.043267,262.517460
175.000000,2026-01-21 21:57:07,4762.099099,0.000000,0.000000,4762.099000,0.000000,-0.057218,0.000099
176.000000,2026-01-21 21:57:07,4673.960837,1087.433632,1087.433632,3586.527000,1024.410491,-0.057956,63.023346
177.000000,2026-01-21 21:57:07,5242.297940,7344.739500,7344.739500,-2102.442000,7640.939373,0.040328,-296.199433
178.000000,2026-01-21 21:57:07,5208.918618,11107.092370,11107.092372,-5898.174000,10262.051097,-0.076081,845.041521
179.000000,2026-01-21 21:57:07,5272.655944,13411.961260,13411.960944,-8139.305000,13954.398132,0.040444,-542.437188
180.000000,2026-01-21 21:57:07,5291.758052,14244.747910,14221.758052,-8930.000000,15145.699409,0.063248,-923.941357
181.000000,2026-01-21 21:57:07,5307.503140,13778.999650,13778.999652,-8471.497000,13158.682628,-0.045019,620.317512
182.000000,2026-01-21 21:57:07,5277.237290,11864.139920,11864.139924,-6586.903000,11581.038668,-0.023862,283.101622
183.000000,2026-01-21 21:57:07,5269.575383,10284.545950,7523.553383,-2253.978000,10543.687395,0.025197,-3020.134012
184.000000,2026-01-21 21:57:07,5271.609343,3505.853208,3505.853208,0.000000,3762.312810,0.073152,1509.296533
185.000000,2026-01-21 21:57:07,5154.166261,696.035496,696.035496,0.000000,721.185312,0.036133,4432.980949
186.000000,2026-01-21 21:57:07,4894.457887,0.000000,0.000000,0.000000,0.000000,0.043411,4894.457887
187.000000,2026-01-21 21:57:07,4535.539664,0.000000,0.000000,0.000000,0.000000,-0.039990,4535.539664
188.000000,2026-01-21 21:57:07,4509.091603,0.000000,0.000000,0.000000,0.000000,-0.044694,4509.091603
189.000000,2026-01-21 21:57:07,4289.805714,0.000000,0.000000,0.000000,0.000000,0.020364,4289.805714
190.000000,2026-01-21 21:57:08,4263.344488,0.000000,0.000000,0.000000,0.000000,0.008411,4263.344488
191.000000,2026-01-21 21:57:08,4036.666570,0.000000,0.000000,0.000000,0.000000,-0.038344,4036.666570
192.000000,2026-01-21 21:57:08,4030.887228,0.000000,0.000000,0.000000,0.000000,0.007924,4030.887228
193.000000,2026-01-21 21:57:08,4047.191819,0.000000,0.000000,0.000000,0.000000,0.055483,4047.191819
194.000000,2026-01-21 21:57:08,4039.023067,0.000000,0.000000,0.000000,0.000000,-0.056045,4039.023067
195.000000,2026-01-21 21:57:08,4034.988060,0.000000,0.000000,0.000000,0.000000,0.018358,4034.988060
196.000000,2026-01-21 21:57:08,4031.966740,0.000000,0.000000,2904.054000,0.000000,0.086551,1127.912740
197.000000,2026-01-21 21:57:08,4919.642128,0.000000,0.000000,4919.642000,0.000000,0.014930,0.000128
198.000000,2026-01-21 21:57:08,4925.980974,0.000000,0.000000,4925.980974,0.000000,-0.057882,0.000000
199.000000,2026-01-21 21:57:08,6801.206421,0.000000,0.000000,6801.206000,0.000000,0.019914,0.000421
200.000000,2026-01-21 21:57:08,7698.887049,2054.987804,2054.987804,5643.899000,2235.227667,0.087708,-180.239618
201.000000,2026-01-21 21:57:08,7982.430273,7951.618392,7951.618392,30.811881,7591.169576,-0.045330,360.448816
