pv_to_load_series_kw,pv_to_storage_series_kw,pv_to_grid_series_kw,pv_curtailed_production_series_kw,storage_to_load_series_kw,soc_series_fraction,grid_to_load_series_kw,grid_to_battery_series_kw,grid_emissions_tonnes,emissions_factor_lbs_per_kwh,load_series_kw,cost_per_timestep
0.0,0,0,0,0.0,0.455787,4455.83345,0,3955.6661452375,0.88775,4455.83345,311.90834150000006
0.0,0,0,0,0.0,0.455787,4363.844487,0,3828.5316837797104,0.87733,4363.844487,305.46911409000006
0.0,0,0,0,0.0,0.455787,4294.795169,0,3784.44465906773,0.88117,4294.795169,300.63566183
0.0,0,0,0,0.0,0.455787,4277.937657,0,3754.2325290300605,0.87758,4277.937657,299.4556359900001
0.0,0,0,0,0.0,0.455787,4261.027485,0,3768.5379282837,0.88442,4261.027485,298.27192395
0.0,0,0,0,0.0,0.455787,5195.806488,0,4625.566725942,0.89025,5195.806488,363.70645416
0.0,0,0,0,0.0,0.455787,5256.160463,0,4686.28754560154,0.89158,5256.160463,367.93123241000006
0.0,0,0,0,0.0,0.455787,7122.400942,0,6444.56204434986,0.90483,7122.400942,498.56806594000005
2459.953716,0,0,0,0.0,0.455787,5590.08433,0,5096.7593878775,0.91175,8050.038046,391.3059031
7234.157832,0,0,0,0.0,0.455787,1117.1432439999999,0,960.4639040289999,0.85975,8351.301076,78.20002708
8612.740619,2497.722,0,0.0002289999988533964,0,0.502933,0,0,0.0,0.82308,8612.740619,0.0
8702.373085,4294.246775000001,0,0,0,0.583991,0,0.0012249999990672222,0.0011762082491043747,0.96017,8702.373085,8.574999993470556e-5
8780.255976,5036.7635040000005,0,0,0,0.679064,0,0.0004959999996572151,0.0003812603197365115,0.76867,8780.255976,3.471999997600506e-5
8455.493798,5054.404,0,0.00047400000039488077,0,0.77447,0,0,0.0,0.96858,8455.493798,0.0
8698.713274,3529.9318219999986,0,0,0,0.8411,0,0.00017800000114220893,0.00011032974070797536,0.61983,8698.713274,1.2460000079954626e-5
8429.782965,1398.0527549999988,0,0,0,0.867489,0,0.0002450000013141107,0.00014465290077587722,0.59042,8429.782965,1.715000009198775e-5
6074.864363999999,0,0,0,2276.258987000001,0.819673,0,0,0.0,0.60583,8351.123351,0.0
711.7608060000001,0,0,0,7732.134813000001,0.657246,0,0,0.0,0.94267,8443.895619,0.0
0.0,0,0,0,8703.755,0.474408,0.0003880000003846362,0,0.00036404100036088494,0.93825,8703.755388,4.3572400043194645e-5
0.0,0,0,0,6556.881,0.33667,0.00010399999973742524,0,9.742199975403309e-5,0.93675,6556.881104,1.1679199970512853e-5
0.0,0,0,0,6505.992612,0.2,0,0,0.0,0.92283,6505.992612,0.0
0.0,0,0,0,0,0.347677,5334.267156,7823.622,11979.205445405521,0.91042,5334.267156,921.0522409200001
0.0,0,0,0,0.0,0.347677,5022.979139,0,4567.99768858938,0.90942,5022.979139,351.60853973
0.0,0,0,0,0.0,0.347677,4154.392695,0,3720.5910097880997,0.89558,4154.392695,290.80748865
0.0,0,0,0,0.0,0.347677,4185.9092,0,3721.9848833640003,0.88917,4185.9092,293.01364400000006
0.0,0,0,0,0.0,0.347677,4091.102972,0,3589.2473704247604,0.87733,4091.102972,286.37720804
0.0,0,0,0,0.0,0.347677,4068.248899,0,3864.51099413808,0.94992,4068.248899,284.77742293000006
0.0,0,0,0,0.0,0.347677,4061.113583,0,3895.29831540611,0.95917,4061.113583,284.27795081
0.0,0,0,0,0.0,0.347677,4055.005121,0,3558.59139408718,0.87758,4055.005121,283.85035847000006
0.0,0,0,0,0.0,0.347677,4945.478027,0,4386.243371706841,0.88692,4945.478027,346.18346189000005
0.0,0,0,0,0.0,0.347677,4957.754192,0,4429.753370552,0.8935,4957.754192,347.0427934400001
0.0,0,0,0,0.0,0.347677,6848.066487,0,6160.38365037546,0.89958,6848.066487,479.36465409000004
2447.287596,0,0,0,0.0,0.347677,5297.715708,0,4760.89817530836,0.89867,7745.003304,370.84009956
7794.70878,0,0,0,0.0,0.347677,213.70878600000015,0,196.73603421588012,0.92058,8008.417566,14.959615020000012
8228.190552,3001.355,0,0.00029199999835327617,0,0.40433,0,0,0.0,0.79692,8228.190552,0.0
8280.974774,5001.577,0,0.00037799999972776277,0,0.498739,0,0,0.0,0.24725,8280.974774,0.0
8298.99737,5947.575,0,0.0003220000007786439,0,0.611004,0,0,0.0,0.10792,8298.99737,0.0
8026.578392,6004.7776,0,0,0,0.724349,0,0.0014000000001033186,0.00016333800001205417,0.11667,8026.578392,9.800000000723232e-5
8246.805564,4433.590656,0,0,0,0.808037,0,0.0003440000000409782,4.053352000482846e-5,0.11783,8246.805564,2.4080000002868477e-5
8252.038568,1899.234,0,3.999999944426236e-5,0,0.843886,0,0,0.0,0.44817,8252.038568,0.0
6225.054491999999,0,0,0,2040.3858310000014,0.801025,0,0,0.0,0.94575,8265.440323,0.0
739.4287644000001,0,0,0,7613.748,0.641085,0.00029460000041581225,0,0.00027621106838985726,0.93758,8353.177059,3.3083580046695715e-5
0.0,0,0,0,8461.477,0.463337,0.00019499999871186446,0,0.00018180434879903258,0.93233,8461.477195,2.189849985534238e-5
0.0,0,0,0,6292.077957,0.331161,0,0,0.0,0.932,6292.077957,0.0
0.0,0,0,0,6243.75,0.2,1.5999999959603883e-5,0,1.4697279962892934e-5,0.91858,6243.750016,1.796799995463516e-6
0.0,0,0,0,0,0.368561,5137.677363,8930.0,12840.27251307825,0.91275,5137.677363,984.73741541
0.0,0,0,0,0,0.399284,4870.596707,1627.617,5955.612862465499,0.9165,4870.596707,454.87495949000004
0.0,0,0,0,0.0,0.399284,4122.468082,0,3709.1906567795004,0.89975,4122.468082,288.57276574
0.0,0,0,0,0.0,0.399284,4121.987567,0,3670.95968741886,0.89058,4121.987567,288.53912969000004
0.0,0,0,0,0.0,0.399284,4043.360865,0,3549.05999925375,0.87775,4043.360865,283.03526055000003
0.0,0,0,0,0.0,0.399284,4028.083128,0,3585.6787580517603,0.89017,4028.083128,281.96581896000004
0.0,0,0,0,0.0,0.399284,4014.70112,0,3527.9186092000004,0.87875,4014.70112,281.02907840000006
0.0,0,0,0,0.0,0.399284,3983.230692,0,3496.95788912064,0.87792,3983.230692,278.82614844000005
0.0,0,0,0,0.0,0.399284,4897.314646,0,4321.04763160518,0.88233,4897.314646,342.81202522
0.0,0,0,0,0.0,0.399284,4906.938107,0,4365.11400122506,0.88958,4906.938107,343.48566749
0.0,0,0,0,0.0,0.399284,6766.83974,0,6074.930376585001,0.89775,6766.83974,473.6787818000001
2452.203768,0,0,0,0.0,0.399284,5232.932659,0,4670.811032770221,0.89258,7685.136427,366.30528613
7440.014484,0,0,0,0.0,0.399284,550.7227709999997,0,499.1365690404297,0.90633,7990.737255,38.55059396999999
8232.22556,2657.8038639999995,0,0,0,0.449452,0,0.0001360000005661277,0.00012703488052880858,0.93408,8232.22556,9.52000003962894e-6
8308.17981,4554.844686,0,0,0,0.535428,0,0.00031399999988934724,0.00029306561989672446,0.93333,8308.17981,2.197999999225431e-5
8335.358517,5424.040851,0,0,0,0.637811,0,0.00014900000041961903,0.00013814833038905817,0.92717,8335.358517,1.0430000029373332e-5
8086.188557,5510.590711,0,0,0,0.741828,0,0.00028900000052090036,0.00028139063050718505,0.97367,8086.188557,2.0230000036463028e-5
8323.681349,3969.5609590000004,0,0,0,0.816757,0,4.099999978279811e-5,3.112596983510685e-5,0.75917,8323.681349,2.8699999847958683e-6
8337.241082,1561.868,0,0.0003980000005867623,0,0.846238,0,0,0.0,0.69258,8337.241082,0.0
6161.316,0,0,0,2174.32556,0.800563,0,0,0.0,0.80992,8335.64156,0.0
805.2453588,0,0,0,7591.1846142,0.641097,0,0,0.0,0.93125,8396.429973,0.0
0.0,0,0,0,8475.352882,0.463057,0,0,0.0,0.93275,8475.352882,0.0
0.0,0,0,0,6285.212519,0.331026,0,0,0.0,0.92792,6285.212519,0.0
0.0,0,0,0,6237.319,0.2,1.6999999388644937e-5,0,1.5535109441325403e-5,0.91383,6237.319017,1.9090999313448266e-6
0.0,0,0,0,0.0,0.2,5133.003863,0,4633.40859701421,0.90267,5133.003863,359.31027041000004
0.0,0,0,0,0.0,0.2,4863.079613,0,4369.86607864954,0.89858,4863.079613,340.41557291000004
0.0,0,0,0,0.0,0.2,4118.163196,0,3675.7901054856807,0.89258,4118.163196,288.27142372000003
0.0,0,0,0,0.0,0.2,4124.79825,0,3670.74045864,0.88992,4124.79825,288.7358775
0.0,0,0,0,0.0,0.2,4038.450399,0,3591.8785538785796,0.88942,4038.450399,282.69152793
0.0,0,0,0,0.0,0.2,4031.848257,0,3589.35291079425,0.89025,4031.848257,282.22937799000005
0.0,0,0,0,0.0,0.2,4027.214252,0,3534.887309693,0.87775,4027.214252,281.90499764000003
0.0,0,0,0,0.0,0.2,4022.599993,0,3546.24370182894,0.88158,4022.599993,281.58199951
0.0,0,0,0,0.0,0.2,4232.124191,0,3745.429909035,0.885,4232.124191,296.24869337
0.0,0,0,0,0.0,0.2,4226.476497,0,3699.56167211901,0.87533,4226.476497,295.85335479
0.0,0,0,0,0.0,0.2,4862.994042,0,4417.6410476336405,0.90842,4862.994042,340.40958294000006
2697.905028,0,0,0,0.0,0.2,2996.7613890000002,0,2750.03802384363,0.91767,5694.666417,209.77329723000003
5760.793152,1887.697,0,7.999999911589839e-5,0,0.235632,0,0,0.0,0.936,5760.793152,0.0
6554.761573,4560.316895,0,0,0,0.321711,0,0.000105000000075961,0.00010040625007263771,0.95625,6554.761573,7.3500000053172704e-6
6626.450431,6592.041,0,0.00020899999981338624,0,0.446142,0,0,0.0,0.95433,6626.450431,0.0
6682.947122,7551.517618,0,0,0,0.588683,0,0.0003820000001724111,0.0003507715001583165,0.91825,6682.947122,2.6740000012068778e-5
6512.278799,7625.451,0,0.00013300000046001514,0,0.732619,0,0,0.0,0.91658,6512.278799,0.0
6465.912412,6369.59,0,0.00010800000018207356,0,0.85285,0,0,0.0,0.91367,6465.912412,0.0
6467.057749,3371.984,0,0.000266999999894324,0,0.916499,0,0,0.0,0.62792,6467.057749,0.0
5459.720292,0,0,0,418.463,0.907709,0.00028300000002445813,0,0.00026750575002311905,0.94525,5878.183575,3.178090000274665e-5
773.0755608,0,0,0,5180.1999702,0.79889,0,0,0.0,0.95417,5953.275531,0.0
0.0,0,0,0,5738.478835,0.678343,0,0,0.0,0.96808,5738.478835,0.0
0.0,0,0,0,5300.900998,0.566988,0,0,0.0,0.97108,5300.900998,0.0
0.0,0,0,0,5250.084913,0.456701,0,0,0.0,0.95108,5250.084913,0.0
0.0,0,0,0,0.0,0.456701,4357.400323,0,4144.23629919884,0.95108,4357.400323,305.01802261
0.0,0,0,0,0.0,0.456701,4350.495391,0,4126.444878363501,0.9485,4350.495391,304.53467737000005
0.0,0,0,0,0.0,0.456701,4121.730854,0,3667.3100273465006,0.88975,4121.730854,288.52115978000006
0.0,0,0,0,0.0,0.456701,4119.868036,0,3889.1554259839995,0.944,4119.868036,288.39076252
0.0,0,0,0,0.0,0.456701,3923.587616,0,3489.050287528,0.88925,3923.587616,274.65113312
0.0,0,0,0,0.0,0.456701,3920.855922,0,3530.4170892872403,0.90042,3920.855922,274.45991454000006
0.0,0,0,0,0.0,0.456701,3921.217954,0,3504.9022438238203,0.89383,3921.217954,274.48525678000004
0.0,0,0,0,0.0,0.456701,3920.566297,0,3515.45418153099,0.89667,3920.566297,274.43964079
0.0,0,0,0,0.0,0.456701,4135.830343,0,3660.209853555,0.885,4135.830343,289.50812401
0.0,0,0,0,3871.325,0.375377,262.51746,0,236.39697273000002,0.9005,4133.84246,18.376222200000004
0.0,0,0,0,4762.099,0.275341,9.899999986373587e-5,0,9.416582987038964e-5,0.95117,4762.099099,6.929999990461511e-6
1087.4336316000001,0,0,0,3586.527,0.2,0.00020539999968605116,0,0.00020856726768121007,1.01542,4673.960837,1.4377999978023583e-5
5242.29794,2102.44156,0,0,0,0.239685,0,0.0004399999997986015,0.00038441479982404415,0.87367,5242.29794,3.079999998590211e-5
5208.918618,5898.173754000001,0,0,0,0.351018,0,0.0002459999986967887,0.0001686133191067529,0.68542,5208.918618,1.721999990877521e-5
5272.655944,8139.305,0,0.0003120000001217704,0,0.504654,0,0,0.0,0.36767,5272.655944,0.0
5291.758052,8930.0,0,22.98985999999786,0,0.673215,0,0,0.0,0.98767,5291.758052,0.0
5307.50314,8471.496512000002,0,0,0,0.833121,0,0.00048799999785842374,0.0004752290379144688,0.97383,5307.50314,3.415999985008967e-5
5277.23729,6586.902633999999,0,0,0,0.957454,0,0.0003660000011223019,0.00033043578101324785,0.90283,5277.23729,2.5620000078561136e-5
5269.575383,2253.978,0,2760.992569,0,1.0,0,0,0.0,0.48958,5269.575383,0.0
3505.853208,0,0,0,0.0,1.0,1765.756135,0,1663.2010186792,0.94192,5271.609343,123.60292945000002
696.035496,0,0,0,0.0,1.0,4458.130765,0,4309.1400348337,0.96658,5154.166261,312.06915355
0.0,0,0,0,0.0,1.0,4894.457887,0,4754.133779379709,0.97133,4894.457887,342.61205209
0.0,0,0,0,0.0,1.0,4535.539664,0,4402.875128828,0.97075,4535.539664,317.48777648000004
0.0,0,0,0,0.0,1.0,4509.091603,0,4277.23411277374,0.94858,4509.091603,315.63641221
0.0,0,0,0,0.0,1.0,4289.805714,0,3892.9986854549998,0.9075,4289.805714,300.28639998000006
0.0,0,0,0,0.0,1.0,4263.344488,0,3901.68497508296,0.91517,4263.344488,298.43411416000004
0.0,0,0,0,0.0,1.0,4036.66657,0,3627.6311464619,0.89867,4036.66657,282.5666599
0.0,0,0,0,0.0,1.0,4030.887228,0,3739.655625777,0.92775,4030.887228,282.16210596
0.0,0,0,0,0.0,1.0,4047.191819,0,3711.2748980230003,0.917,4047.191819,283.30342733000003
0.0,0,0,0,0.0,1.0,4039.023067,0,3610.886621898,0.894,4039.023067,282.73161469
0.0,0,0,0,0.0,1.0,4034.98806,0,3580.3659552798,0.88733,4034.98806,282.44916420000004
0.0,0,0,0,2904.054,0.938995,1127.9127399999998,0,1000.6503455457998,0.88717,4031.96674,78.9538918
0.0,0,0,0,4919.642,0.83565,0.00012800000058632577,0,0.00011339776051943773,0.88592,4919.642128,8.960000041042804e-6
0.0,0,0,0,4925.980974,0.732171,0,0,0.0,0.88667,4925.980974,0.0
0.0,0,0,0,6801.206,0.5893,0.00042099999973288504,0,0.00039097006975193836,0.92867,6801.206421,2.9469999981301955e-5
2054.9878043999997,0,0,0,5643.899,0.47074,0.0002445999998599291,0,0.00024135904986178502,0.98675,7698.887049,1.7121999990195038e-5
7951.618392,0,0,0,30.81188099999963,0.470093,0,0,0.0,0.79725,7982.430273,0.0
8224.320104,3371.4268839999986,0,0,0,0.533731,0,0.00011600000152611756,5.106900067187325e-5,0.44025,8224.320104,8.12000010682823e-6
8305.34938,5436.918524000001,0,0,0,0.636357,0,0.0004759999992529629,5.973799990624684e-5,0.1255,8305.34938,3.3319999947707404e-5
8391.828879,6314.373693,0,0,0,0.755546,0,0.00030700000024808105,3.6941310029851595e-5,0.12033,8391.828879,2.1490000017365676e-5
8165.552487,6298.813,0,6.500000108644599e-5,0,0.874442,0,0,0.0,0.403,8165.552487,0.0
8413.340144,4690.362,0,0.00010000000020227162,0,0.962976,0,0,0.0,0.09167,8413.340144,0.0
8448.371647,1961.46,0,0.0015529999991485965,0,1.0,0,0,0.0,0.09583,8448.371647,0.0
6485.633076,0,0,0,0.0,1.0,1964.9897500000006,0,1196.3447094925004,0.60883,8450.622826,137.54928250000006
990.5571348,0,0,0,0.0,1.0,7509.6969452,0,7042.819086116917,0.93783,8500.25408,525.678786164
0.0,0,0,0,0.0,1.0,8578.064565,0,7969.021980885001,0.929,8578.064565,600.4645195500001
0.0,0,0,0,0.0,1.0,6390.287282,0,5958.43166748244,0.93242,6390.287282,447.3201097400001
0.0,0,0,0,0.0,1.0,6344.447487,0,5760.758318196001,0.908,6344.447487,444.1113240900001
0.0,0,0,0,0.0,1.0,5241.975403,0,4771.0887525485105,0.91017,5241.975403,366.9382782100001
0.0,0,0,0,0.0,1.0,4955.805804,0,4479.651982351679,0.90392,4955.805804,346.90640628
0.0,0,0,0,0.0,1.0,4190.641941,0,3784.149672723,0.903,4190.641941,293.34493587000003
0.0,0,0,0,0.0,1.0,4153.997751,0,3712.6354899562502,0.89375,4153.997751,290.77984257
0.0,0,0,0,0.0,1.0,4060.619904,0,3586.2176806156804,0.88317,4060.619904,284.24339328
0.0,0,0,0,0.0,1.0,4054.406123,0,3589.8522694266603,0.88542,4054.406123,283.80842861
0.0,0,0,0,0.0,1.0,4012.838302,0,3526.6026849466602,0.87883,4012.838302,280.89868114
0.0,0,0,0,0.0,1.0,4039.365352,0,3561.0237070161597,0.88158,4039.365352,282.75557464
0.0,0,0,0,0.0,1.0,4930.233201,0,4348.465683282,0.882,4930.233201,345.11632407
0.0,0,0,0,0.0,1.0,4941.877457,0,4403.212814187,0.891,4941.877457,345.93142199
0.0,0,0,0,0.0,1.0,6813.311445,0,6095.052152468101,0.89458,6813.311445,476.93180115000007
812.0829168,0,0,0,0.0,1.0,6910.5863232,0,6289.808353786944,0.91017,7722.66924,483.74104262400004
2914.1951280000003,0,0,0,0.0,1.0,5115.799527,0,4726.998762948,0.924,8029.994655,358.10596689000005
5048.243136,0,0,0,522.718,0.989019,2738.7852839999996,0,2573.99257346172,0.93983,8309.74642,191.71496987999998
4852.540848,0,0,0,3651.037,0.912323,0.00034200000072814873,0,0.0003225915006868263,0.94325,8503.57819,2.3940000050970412e-5
8608.113196,1651.186,0,0.00038800000015726255,0,0.943491,0,0,0.0,0.97383,8608.113196,0.0
8360.305792,2483.417,0,0.00015599999960613786,0,0.990367,0,0,0.0,0.98267,8360.305792,0.0
8524.108678,510.334,0,0.0001660000005472284,0,1.0,0,0,0.0,0.98067,8524.108678,0.0
7724.766036,0,0,0,0.0,1.0,792.6088520000003,0,774.4422571121603,0.97708,8517.374888,55.482619640000024
4325.544384,0,0,0,4183.655,0.912115,0.00017099999968195334,0,0.0001644301796941727,0.96158,8509.199555,1.920329996428336e-5
626.0777244,0,0,0,7945.6545776,0.745203,0,0,0.0,0.93042,8571.732302,0.0
0.0,0,0,0,8657.836604,0.56333,0,0,0.0,0.93075,8657.836604,0.0
0.0,0,0,0,6456.22971,0.427706,0,0,0.0,0.93317,6456.22971,0.0
0.0,0,0,0,6368.604875,0.293922,0,0,0.0,0.91475,6368.604875,0.0
0.0,0,0,0,0,0.301662,5253.435352,410.049,5165.550807772161,0.91208,5253.435352,396.4439046400001
0.0,0,0,0,0.0,0.301662,5009.662955,0,4564.2037250414,0.91108,5009.662955,350.67640685000003
0.0,0,0,0,0.0,0.301662,4286.850219,0,3884.61506295123,0.90617,4286.850219,300.07951533000005
0.0,0,0,0,0.0,0.301662,4299.692471,0,3840.3563243230706,0.89317,4299.692471,300.97847297000004
0.0,0,0,0,0.0,0.301662,4189.516352,0,3688.5339866278396,0.88042,4189.516352,293.26614464
0.0,0,0,0,0.0,0.301662,4148.738418,0,3684.079715184,0.888,4148.738418,290.41168926
0.0,0,0,0,0.0,0.301662,4126.700562,0,3647.67316076304,0.88392,4126.700562,288.86903934000003
0.0,0,0,0,0.0,0.301662,4103.787246,0,3646.214968071,0.8885,4103.787246,287.26510722
