time,forecast,load
2814,489.2041968,6881.28125
2815,3550.420776,7945.397721
2816,8130.167748,8261.517216
2817,11962.80685,8527.27481
2818,14876.07886,8600.944969
2819,16787.65398,8665.320786
2820,17495.38954,8447.147322
2821,17206.30145,8612.102127
2822,15757.10411,8588.122464
2823,13333.75333,8592.881535
2824,9923.497128,8595.632976
2825,5485.159872,8551.530933
2826,1368.593587,6345.836372
2827,0,6386.04822
2828,0,5313.282482
2829,0,5054.824763
2830,0,4292.392595
2831,0,4274.192274
2832,0,4172.250731
2833,0,4132.420662
2834,0,4091.669058
2835,0,4089.009771
2836,0,4316.931762
2837,0,4337.047559
2838,526.6551228,4855.641507
2839,3597.17808,5850.346629
2840,8138.175312,6022.542068
2841,11755.46891,6858.980097
2842,14385.14863,6906.478656
2843,15934.27951,6885.243851
2844,16483.25921,6654.702068
2845,16068.23983,6651.41087
2846,14818.30847,6646.342427
2847,12518.33429,6013.188486
2848,9349.292532,6051.096495
2849,5224.516884,5760.654922
2850,1299.219745,5304.685875
2851,0,5274.196224
2852,0,4438.087314
2853,0,4433.81534
2854,0,4231.373798
2855,0,4249.508295
2856,0,4168.946369
2857,0,4062.627534
2858,0,4040.155239
2859,0,4021.566557
2860,0,4241.056501
2861,0,4246.796349
2862,484.2042996,4757.655983
2863,3529.44654,4835.795588
2864,7940.15448,5419.035232
2865,11396.67422,5366.869755
2866,13889.81747,5417.60027
2867,15341.5051,5452.888486
2868,15938.87366,5462.544859
2869,15693.92378,5419.456505
2870,14583.12653,5407.996556
2871,12555.28072,5409.378859
2872,9456.911616,5256.450088
2873,5278.594776,4916.298272
2874,1330.683246,4552.541989
2875,0,4559.697052
2876,0,4411.422034
2877,0,4418.899634
2878,0,4218.353822
2879,0,4243.241856
2880,0,4179.662507
2881,0,4319.064457
2882,0,4341.753971
2883,0,4352.687328
2884,0,5238.789524
2885,0,5227.20451
2886,511.20675,6979.056137
2887,3589.599876,8090.559267
2888,8159.793588,8446.192875
2889,11880.9279,8729.05153
2890,14634.99322,8844.796354
2891,16346.37924,8924.147119
2892,17054.26507,8743.289249
2893,16697.72453,9005.610833
2894,15393.73674,9018.163459
2895,12975.45241,9027.609195
2896,9628.376532,9053.609653
2897,5324.27868,9020.315902
2898,1320.178954,6743.347174
2899,0,6638.891156
2900,0,5522.431484
2901,0,5204.185876
2902,0,4406.425997
2903,0,4377.121177
2904,0,4277.266253
2905,0,4261.626483
2906,0,4243.531481
2907,0,4238.219489
2908,0,5138.263196
2909,0,5122.518108
2910,567.9531144,6871.789437
2911,3582.386628,7980.290994
2912,7900.996848,8363.471923
2913,11197.1721,8710.745891
2914,13571.57584,8829.91356
2915,15198.69996,8872.896596
2916,15941.81478,8629.874592
2917,15770.71482,8891.366795
2918,14550.32342,8950.647839
2919,12439.46086,8994.098225
2920,9278.104644,8992.814658
2921,5167.13292,8892.788592
2922,1396.987164,6563.970342
2923,0,6520.052606
